Province_State,week,cases
Alabama,2020-W04,0
Alabama,2020-W05,0
Alabama,2020-W07,0
Alabama,2020-W08,0
Alabama,2020-W09,0
Alabama,2020-W11,51
Alabama,2020-W12,680
Alabama,2020-W13,3933
Alabama,2020-W14,2064
Alabama,2020-W16,31006
Alabama,2020-W17,40999
Alabama,2020-W18,27607
Alabama,2020-W20,57442
Alabama,2020-W21,94997
Alabama,2020-W22,117371
Alabama,2020-W24,51546
Alabama,2020-W25,199166
Alabama,2020-W26,235907
Alabama,2020-W27,76066
Alabama,2020-W29,434840
Alabama,2020-W30,522046
Alabama,2020-W31,423536
Alabama,2020-W33,425665
Alabama,2020-W34,788446
Alabama,2020-W35,847158
Alabama,2020-W36,126500
Alabama,2020-W37,137861
Alabama,2020-W38,990827
Alabama,2020-W39,1040029
Alabama,2020-W40,460706
Alabama,2020-W42,1022157
Alabama,2020-W43,1257451
Alabama,2020-W44,1137638
Alabama,2020-W46,647282
Alabama,2020-W47,1581063
Alabama,2020-W48,1687316
Alabama,2020-W49,249524
Alabama,2020-W50,295631
Alabama,2020-W51,2173442
Alabama,2020-W52,2359525
Alabama,2020-W53,1417747
Alaska,2020-W04,0
Alaska,2020-W05,0
Alaska,2020-W07,0
Alaska,2020-W08,0
Alaska,2020-W09,0
Alaska,2020-W11,3
Alaska,2020-W12,83
Alaska,2020-W13,474
Alaska,2020-W14,248
Alaska,2020-W16,2129
Alaska,2020-W17,2376
Alaska,2020-W18,1426
Alaska,2020-W20,1996
Alaska,2020-W21,2919
Alaska,2020-W22,3120
Alaska,2020-W24,1474
Alaska,2020-W25,5659
Alaska,2020-W26,6841
Alaska,2020-W27,2238
Alaska,2020-W29,14382
Alaska,2020-W30,19216
Alaska,2020-W31,17455
Alaska,2020-W33,19840
Alaska,2020-W34,37715
Alaska,2020-W35,41275
Alaska,2020-W36,6172
Alaska,2020-W37,7190
Alaska,2020-W38,52473
Alaska,2020-W39,57069
Alaska,2020-W40,26201
Alaska,2020-W42,69152
Alaska,2020-W43,91193
Alaska,2020-W44,92196
Alaska,2020-W46,69406
Alaska,2020-W47,182772
Alaska,2020-W48,211213
Alaska,2020-W49,32598
Alaska,2020-W50,41169
Alaska,2020-W51,299857
Alaska,2020-W52,314928
Alaska,2020-W53,185571
American Samoa,2020-W04,0
American Samoa,2020-W05,0
American Samoa,2020-W07,0
American Samoa,2020-W08,0
American Samoa,2020-W09,0
American Samoa,2020-W11,0
American Samoa,2020-W12,0
American Samoa,2020-W13,0
American Samoa,2020-W14,0
American Samoa,2020-W16,0
American Samoa,2020-W17,0
American Samoa,2020-W18,0
American Samoa,2020-W20,0
American Samoa,2020-W21,0
American Samoa,2020-W22,0
American Samoa,2020-W24,0
American Samoa,2020-W25,0
American Samoa,2020-W26,0
American Samoa,2020-W27,0
American Samoa,2020-W29,0
American Samoa,2020-W30,0
American Samoa,2020-W31,0
American Samoa,2020-W33,0
American Samoa,2020-W34,0
American Samoa,2020-W35,0
American Samoa,2020-W36,0
American Samoa,2020-W37,0
American Samoa,2020-W38,0
American Samoa,2020-W39,0
American Samoa,2020-W40,0
American Samoa,2020-W42,0
American Samoa,2020-W43,0
American Samoa,2020-W44,0
American Samoa,2020-W46,0
American Samoa,2020-W47,0
American Samoa,2020-W48,0
American Samoa,2020-W49,0
American Samoa,2020-W50,0
American Samoa,2020-W51,0
American Samoa,2020-W52,0
American Samoa,2020-W53,0
Arizona,2020-W04,1
Arizona,2020-W05,5
Arizona,2020-W07,4
Arizona,2020-W08,7
Arizona,2020-W09,6
Arizona,2020-W11,33
Arizona,2020-W12,434
Arizona,2020-W13,3827
Arizona,2020-W14,2446
Arizona,2020-W16,29883
Arizona,2020-W17,40434
Arizona,2020-W18,28544
Arizona,2020-W20,65670
Arizona,2020-W21,107092
Arizona,2020-W22,126300
Arizona,2020-W24,70366
Arizona,2020-W25,310039
Arizona,2020-W26,447151
Arizona,2020-W27,153773
