state,week,Variant_,Variant_A,Variant_A.1,Variant_A.19,Variant_A.2,Variant_A.2.2,Variant_A.2.5,Variant_A.23,Variant_A.27,Variant_A.3,Variant_A.4,Variant_A.5,Variant_AD.2,Variant_AE.8,Variant_AM.2,Variant_AW.1,Variant_AY.100,Variant_AY.103,Variant_AY.25,Variant_AY.25.1,Variant_AY.25.3,Variant_AY.26,Variant_AY.3,Variant_AY.3.1,Variant_AY.39,Variant_AY.44,Variant_AY.75,Variant_B,Variant_B.1,Variant_B.1.1,Variant_B.1.103,Variant_B.1.104,Variant_B.1.106,Variant_B.1.108,Variant_B.1.110,Variant_B.1.111,Variant_B.1.112,Variant_B.1.115,Variant_B.1.116,Variant_B.1.117,Variant_B.1.119,Variant_B.1.12,Variant_B.1.124,Variant_B.1.126,Variant_B.1.13,Variant_B.1.131,Variant_B.1.134,Variant_B.1.137,Variant_B.1.139,Variant_B.1.14,Variant_B.1.143,Variant_B.1.147,Variant_B.1.151,Variant_B.1.153,Variant_B.1.157,Variant_B.1.160,Variant_B.1.161,Variant_B.1.162,Variant_B.1.163,Variant_B.1.164,Variant_B.1.165,Variant_B.1.166,Variant_B.1.167,Variant_B.1.169,Variant_B.1.170,Variant_B.1.177,Variant_B.1.181,Variant_B.1.182,Variant_B.1.188,Variant_B.1.189,Variant_B.1.194,Variant_B.1.199,Variant_B.1.2,Variant_B.1.201,Variant_B.1.206,Variant_B.1.212,Variant_B.1.22,Variant_B.1.221,Variant_B.1.229,Variant_B.1.232,Variant_B.1.233,Variant_B.1.234,Variant_B.1.236,Variant_B.1.237,Variant_B.1.239,Variant_B.1.240,Variant_B.1.241,Variant_B.1.243,Variant_B.1.245,Variant_B.1.258,Variant_B.1.263,Variant_B.1.264,Variant_B.1.265,Variant_B.1.267,Variant_B.1.268,Variant_B.1.274,Variant_B.1.276,Variant_B.1.279,Variant_B.1.280,Variant_B.1.284,Variant_B.1.287,Variant_B.1.289,Variant_B.1.293,Variant_B.1.294,Variant_B.1.298,Variant_B.1.3,Variant_B.1.301,Variant_B.1.302,Variant_B.1.304,Variant_B.1.305,Variant_B.1.306,Variant_B.1.308,Variant_B.1.309,Variant_B.1.311,Variant_B.1.313,Variant_B.1.314,Variant_B.1.315,Variant_B.1.318,Variant_B.1.319,Variant_B.1.320,Variant_B.1.321,Variant_B.1.323,Variant_B.1.324,Variant_B.1.325,Variant_B.1.328,Variant_B.1.330,Variant_B.1.332,Variant_B.1.333,Variant_B.1.334,Variant_B.1.335,Variant_B.1.336,Variant_B.1.337,Variant_B.1.338,Variant_B.1.340,Variant_B.1.341,Variant_B.1.343,Variant_B.1.344,Variant_B.1.346,Variant_B.1.348,Variant_B.1.349,Variant_B.1.350,Variant_B.1.351,Variant_B.1.354,Variant_B.1.355,Variant_B.1.356,Variant_B.1.357,Variant_B.1.359,Variant_B.1.36,Variant_B.1.360,Variant_B.1.361,Variant_B.1.362,Variant_B.1.363,Variant_B.1.366,Variant_B.1.367,Variant_B.1.369,Variant_B.1.37,Variant_B.1.370,Variant_B.1.371,Variant_B.1.375,Variant_B.1.377,Variant_B.1.378,Variant_B.1.38,Variant_B.1.381,Variant_B.1.382,Variant_B.1.383,Variant_B.1.384,Variant_B.1.385,Variant_B.1.39,Variant_B.1.390,Variant_B.1.391,Variant_B.1.395,Variant_B.1.396,Variant_B.1.397,Variant_B.1.398,Variant_B.1.399,Variant_B.1.400,Variant_B.1.401,Variant_B.1.402,Variant_B.1.403,Variant_B.1.404,Variant_B.1.405,Variant_B.1.408,Variant_B.1.409,Variant_B.1.413,Variant_B.1.415,Variant_B.1.416,Variant_B.1.420,Variant_B.1.421,Variant_B.1.422,Variant_B.1.423,Variant_B.1.424,Variant_B.1.425,Variant_B.1.426,Variant_B.1.427,Variant_B.1.428,Variant_B.1.429,Variant_B.1.432,Variant_B.1.433,Variant_B.1.434,Variant_B.1.435,Variant_B.1.436,Variant_B.1.437,Variant_B.1.438,Variant_B.1.439,Variant_B.1.44,Variant_B.1.441,Variant_B.1.442,Variant_B.1.443,Variant_B.1.444,Variant_B.1.445,Variant_B.1.446,Variant_B.1.448,Variant_B.1.450,Variant_B.1.451,Variant_B.1.452,Variant_B.1.453,Variant_B.1.456,Variant_B.1.466,Variant_B.1.471,Variant_B.1.473,Variant_B.1.478,Variant_B.1.479,Variant_B.1.480,Variant_B.1.483,Variant_B.1.485,Variant_B.1.487,Variant_B.1.492,Variant_B.1.493,Variant_B.1.494,Variant_B.1.495,Variant_B.1.496,Variant_B.1.497,Variant_B.1.498,Variant_B.1.499,Variant_B.1.500,Variant_B.1.501,Variant_B.1.502,Variant_B.1.503,Variant_B.1.506,Variant_B.1.507,Variant_B.1.508,Variant_B.1.509,Variant_B.1.510,Variant_B.1.511,Variant_B.1.513,Variant_B.1.515,Variant_B.1.516,Variant_B.1.517,Variant_B.1.518,Variant_B.1.520,Variant_B.1.521,Variant_B.1.523,Variant_B.1.526,Variant_B.1.527,Variant_B.1.533,Variant_B.1.539,Variant_B.1.541,Variant_B.1.543,Variant_B.1.544,Variant_B.1.546,Variant_B.1.548,Variant_B.1.550,Variant_B.1.551,Variant_B.1.552,Variant_B.1.554,Variant_B.1.555,Variant_B.1.556,Variant_B.1.558,Variant_B.1.560,Variant_B.1.561,Variant_B.1.563,Variant_B.1.564,Variant_B.1.565,Variant_B.1.566,Variant_B.1.567,Variant_B.1.568,Variant_B.1.569,Variant_B.1.570,Variant_B.1.571,Variant_B.1.572,Variant_B.1.574,Variant_B.1.575,Variant_B.1.576,Variant_B.1.577,Variant_B.1.578,Variant_B.1.579,Variant_B.1.580,Variant_B.1.581,Variant_B.1.582,Variant_B.1.585,Variant_B.1.586,Variant_B.1.587,Variant_B.1.588,Variant_B.1.589,Variant_B.1.590,Variant_B.1.591,Variant_B.1.593,Variant_B.1.594,Variant_B.1.595,Variant_B.1.596,Variant_B.1.599,Variant_B.1.601,Variant_B.1.602,Variant_B.1.603,Variant_B.1.605,Variant_B.1.606,Variant_B.1.607,Variant_B.1.609,Variant_B.1.612,Variant_B.1.617,Variant_B.1.623,Variant_B.1.631,Variant_B.1.637,Variant_B.1.78,Variant_B.1.8,Variant_B.1.9,Variant_B.1.91,Variant_B.1.93,Variant_B.1.94,Variant_B.11,Variant_B.13,Variant_B.19,Variant_B.20,Variant_B.23,Variant_B.27,Variant_B.28,Variant_B.29,Variant_B.3,Variant_B.3.1,Variant_B.30,Variant_B.31,Variant_B.33,Variant_B.34,Variant_B.35,Variant_B.37,Variant_B.39,Variant_B.4,Variant_B.4.4,Variant_B.4.7,Variant_B.40,Variant_B.41,Variant_B.46,Variant_B.5,Variant_B.51,Variant_B.55,Variant_B.57,Variant_B.58,Variant_B.6,Variant_B.6.3,Variant_BA.1,Variant_BA.1.1,Variant_BA.1.15,Variant_BA.1.17,Variant_BA.2,Variant_BA.2.10,Variant_BA.2.12,Variant_BA.2.72,Variant_BA.2.73,Variant_BA.2.9,Variant_BA.4,Variant_BA.5,Variant_BA.5.2,Variant_BF.7.1,Variant_C.1,Variant_C.13,Variant_C.14,Variant_C.16,Variant_C.17,Variant_C.23,Variant_C.28,Variant_C.31,Variant_C.33,Variant_C.35,Variant_C.36,Variant_C.4,Variant_C.8,Variant_JN.1.1,Variant_L.4,Variant_N.1,Variant_N.4,Variant_N.5,Variant_N.9,Variant_P.1,Variant_P.2,Variant_P.7,Variant_Q.3,Variant_Q.4,Variant_R.1,Variant_R.2,Variant_W.1,Variant_XB,Variant_XBB.1.5,Variant_XBB.6.1
0,2020-W33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, 0",2020-W49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ada, Id",2020-W34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
