Province_State,week,retail_and_recreation_percent_change_from_baseline
Alabama,2020-W07,1.9380530973451326
Alabama,2020-W08,-0.4398034398034398
Alabama,2020-W09,13.738805970149254
Alabama,2020-W10,13.145
Alabama,2020-W11,8.69059405940594
Alabama,2020-W12,-16.86682808716707
Alabama,2020-W13,-28.014423076923077
Alabama,2020-W14,-30.548693586698338
Alabama,2020-W15,-38.40890688259109
Alabama,2020-W16,-25.94736842105263
Alabama,2020-W17,-22.548780487804876
Alabama,2020-W18,-14.08230452674897
Alabama,2020-W19,-9.683127572016462
Alabama,2020-W20,-5.950943396226415
Alabama,2020-W21,-2.595667870036101
Alabama,2020-W22,-5.7178571428571425
Alabama,2020-W23,-0.16606498194945848
Alabama,2020-W24,-1.7877697841726619
Alabama,2020-W25,0.420863309352518
Alabama,2020-W26,-3.8718861209964412
Alabama,2020-W27,-2.6823104693140793
Alabama,2020-W28,-3.8530465949820787
Alabama,2020-W29,-3.867857142857143
Alabama,2020-W30,-5.821428571428571
Alabama,2020-W31,-3.8741007194244603
Alabama,2020-W32,-2.3440860215053765
Alabama,2020-W33,-5.75177304964539
Alabama,2020-W34,-10.675925925925926
Alabama,2020-W35,-13.601851851851851
Alabama,2020-W36,-7.359223300970874
Alabama,2020-W37,-8.770491803278688
Alabama,2020-W38,-9.557142857142857
Alabama,2020-W39,-8.4822695035461
Alabama,2020-W40,-3.8884892086330933
Alabama,2020-W41,-8.664285714285715
Alabama,2020-W42,-6.98576512455516
Alabama,2020-W43,-9.443262411347519
Alabama,2020-W44,-6.719858156028369
Alabama,2020-W45,-4.795698924731183
Alabama,2020-W46,-8.20494699646643
Alabama,2020-W47,-8.28014184397163
Alabama,2020-W48,-18.526315789473685
Alabama,2020-W49,-6.825622775800712
Alabama,2020-W50,-8.24468085106383
Alabama,2020-W51,-6.574468085106383
Alabama,2020-W52,-14.974545454545455
Alabama,2020-W53,0.5424836601307189
Alaska,2020-W07,8.1875
Alaska,2020-W08,0.9642857142857143
Alaska,2020-W09,7.910714285714286
Alaska,2020-W10,10.446428571428571
Alaska,2020-W11,9.125
Alaska,2020-W12,-19.05263157894737
Alaska,2020-W13,-40.982142857142854
Alaska,2020-W14,-40.375
Alaska,2020-W15,-38.55882352941177
Alaska,2020-W16,-27.147058823529413
Alaska,2020-W17,-20.676470588235293
Alaska,2020-W18,-9.272727272727273
Alaska,2020-W19,-2.4545454545454546
Alaska,2020-W20,0.5263157894736842
Alaska,2020-W21,3.2142857142857144
Alaska,2020-W22,4.690476190476191
Alaska,2020-W23,11.738095238095237
Alaska,2020-W24,14.047619047619047
Alaska,2020-W25,14.523809523809524
Alaska,2020-W26,14.404761904761905
Alaska,2020-W27,20.785714285714285
Alaska,2020-W28,19.833333333333332
Alaska,2020-W29,23.69047619047619
Alaska,2020-W30,23.666666666666668
Alaska,2020-W31,21.714285714285715
Alaska,2020-W32,16.61904761904762
Alaska,2020-W33,15.285714285714286
Alaska,2020-W34,0.07142857142857142
Alaska,2020-W35,-2.857142857142857
Alaska,2020-W36,0.42857142857142855
Alaska,2020-W37,3.6153846153846154
Alaska,2020-W38,4.142857142857143
Alaska,2020-W39,1.0714285714285714
Alaska,2020-W40,1.7857142857142858
Alaska,2020-W41,-1.0
Alaska,2020-W42,-3.0952380952380953
Alaska,2020-W43,-5.190476190476191
Alaska,2020-W44,-6.439024390243903
Alaska,2020-W45,-11.097560975609756
Alaska,2020-W46,-10.761904761904763
Alaska,2020-W47,-14.536585365853659
Alaska,2020-W48,-21.30952380952381
Alaska,2020-W49,-12.738095238095237
Alaska,2020-W50,-12.238095238095237
Alaska,2020-W51,-8.512195121951219
Alaska,2020-W52,-16.153846153846153
Alaska,2020-W53,-5.217391304347826
Arizona,2020-W07,7.9
Arizona,2020-W08,2.8333333333333335
Arizona,2020-W09,8.047169811320755
Arizona,2020-W10,9.462962962962964
Arizona,2020-W11,6.12037037037037
Arizona,2020-W12,-19.945454545454545
Arizona,2020-W13,-36.236363636363635
Arizona,2020-W14,-38.6605504587156
Arizona,2020-W15,-41.94117647058823
Arizona,2020-W16,-35.38834951456311
Arizona,2020-W17,-32.50485436893204
Arizona,2020-W18,-27.40776699029126
Arizona,2020-W19,-24.08823529411765
Arizona,2020-W20,-20.134615384615383
Arizona,2020-W21,-12.41904761904762
Arizona,2020-W22,-14.771428571428572
Arizona,2020-W23,-12.019047619047619
Arizona,2020-W24,-11.60952380952381
Arizona,2020-W25,-14.304761904761905
Arizona,2020-W26,-15.971428571428572
Arizona,2020-W27,-15.2
Arizona,2020-W28,-17.01904761904762
Arizona,2020-W29,-16.476190476190474
Arizona,2020-W30,-16.276190476190475
Arizona,2020-W31,-15.657142857142857
Arizona,2020-W32,-15.428571428571429
Arizona,2020-W33,-16.771428571428572
Arizona,2020-W34,-18.597014925373134
Arizona,2020-W35,-18.313432835820894
Arizona,2020-W36,-13.611940298507463
Arizona,2020-W37,-15.185185185185185
Arizona,2020-W38,-14.142857142857142
Arizona,2020-W39,-16.047619047619047
Arizona,2020-W40,-14.428571428571429
Arizona,2020-W41,-12.495238095238095
Arizona,2020-W42,-13.552380952380952
Arizona,2020-W43,-14.361904761904762
Arizona,2020-W44,-15.047619047619047
Arizona,2020-W45,-14.971428571428572
Arizona,2020-W46,-15.314285714285715
Arizona,2020-W47,-16.590476190476192
Arizona,2020-W48,-19.533333333333335
Arizona,2020-W49,-17.066666666666666
Arizona,2020-W50,-19.114285714285714
Arizona,2020-W51,-16.16190476190476
Arizona,2020-W52,-20.523809523809526
Arizona,2020-W53,-6.6
Arkansas,2020-W07,3.0252100840336134
Arkansas,2020-W08,0.2863741339491917
Arkansas,2020-W09,14.224824355971897
Arkansas,2020-W10,17.178403755868544
Arkansas,2020-W11,7.932084309133489
Arkansas,2020-W12,-15.661290322580646
Arkansas,2020-W13,-23.05442176870748
Arkansas,2020-W14,-24.009090909090908
Arkansas,2020-W15,-31.224358974358974
Arkansas,2020-W16,-19.602564102564102
Arkansas,2020-W17,-16.666666666666668
Arkansas,2020-W18,-8.807692307692308
Arkansas,2020-W19,-4.0130718954248366
Arkansas,2020-W20,-6.871657754010696
Arkansas,2020-W21,-1.0466321243523315
Arkansas,2020-W22,-3.5128205128205128
Arkansas,2020-W23,2.0575916230366493
Arkansas,2020-W24,0.4869109947643979
Arkansas,2020-W25,1.1649484536082475
Arkansas,2020-W26,-1.6307692307692307
Arkansas,2020-W27,1.256544502617801
Arkansas,2020-W28,-0.7083333333333334
Arkansas,2020-W29,-2.0510204081632653
Arkansas,2020-W30,-3.5051020408163267
Arkansas,2020-W31,-1.0833333333333333
Arkansas,2020-W32,0.18652849740932642
Arkansas,2020-W33,-1.2989690721649485
Arkansas,2020-W34,-5.0
Arkansas,2020-W35,-10.847457627118644
Arkansas,2020-W36,-6.948275862068965
Arkansas,2020-W37,-6.088709677419355
Arkansas,2020-W38,-1.794871794871795
Arkansas,2020-W39,-5.204081632653061
Arkansas,2020-W40,-1.225130890052356
Arkansas,2020-W41,-4.571428571428571
Arkansas,2020-W42,-4.336734693877551
Arkansas,2020-W43,-6.00507614213198
Arkansas,2020-W44,-4.098445595854923
Arkansas,2020-W45,-4.11734693877551
Arkansas,2020-W46,-7.255102040816326
Arkansas,2020-W47,-8.863636363636363
Arkansas,2020-W48,-18.93069306930693
Arkansas,2020-W49,-7.3979591836734695
Arkansas,2020-W50,-10.376884422110553
Arkansas,2020-W51,-6.571428571428571
Arkansas,2020-W52,-14.71875
Arkansas,2020-W53,-3.108910891089109
California,2020-W07,10.205357142857142
California,2020-W08,5.459183673469388
California,2020-W09,6.560102301790281
California,2020-W10,6.645408163265306
California,2020-W11,-1.211734693877551
California,2020-W12,-29.709183673469386
California,2020-W13,-43.040712468193384
California,2020-W14,-41.915601023017906
California,2020-W15,-45.09785932721712
California,2020-W16,-46.30654761904762
California,2020-W17,-49.023809523809526
California,2020-W18,-43.3562874251497
California,2020-W19,-39.740181268882175
California,2020-W20,-39.74928774928775
California,2020-W21,-33.038356164383565
California,2020-W22,-31.87193460490463
California,2020-W23,-26.929155313351497
California,2020-W24,-23.869565217391305
California,2020-W25,-21.256064690026953
California,2020-W26,-20.787061994609164
California,2020-W27,-17.48247978436658
California,2020-W28,-19.156756756756756
California,2020-W29,-20.724324324324325
California,2020-W30,-20.47027027027027
California,2020-W31,-19.441734417344172
California,2020-W32,-17.919137466307276
California,2020-W33,-19.688172043010752
California,2020-W34,-27.896551724137932
California,2020-W35,-27.21072796934866
California,2020-W36,-23.666666666666668
California,2020-W37,-24.19543973941368
California,2020-W38,-20.460916442048518
California,2020-W39,-19.92452830188679
California,2020-W40,-18.450134770889488
California,2020-W41,-18.1455525606469
California,2020-W42,-17.237196765498652
California,2020-W43,-17.967654986522913
California,2020-W44,-17.56451612903226
California,2020-W45,-19.13978494623656
California,2020-W46,-19.344086021505376
California,2020-W47,-22.364864864864863
California,2020-W48,-25.347708894878707
California,2020-W49,-22.206989247311828
California,2020-W50,-27.935309973045822
California,2020-W51,-25.119241192411923
California,2020-W52,-29.442048517520217
California,2020-W53,-20.37735849056604
Colorado,2020-W07,4.876404494382022
Colorado,2020-W08,1.7272727272727273
Colorado,2020-W09,6.596774193548387
Colorado,2020-W10,9.628664495114007
Colorado,2020-W11,2.3689320388349513
Colorado,2020-W12,-31.742574257425744
Colorado,2020-W13,-45.37581699346405
Colorado,2020-W14,-44.90969899665552
Colorado,2020-W15,-48.27450980392157
Colorado,2020-W16,-46.6583850931677
Colorado,2020-W17,-39.855345911949684
Colorado,2020-W18,-32.765822784810126
Colorado,2020-W19,-28.369426751592357
Colorado,2020-W20,-26.56149732620321
Colorado,2020-W21,-19.09259259259259
Colorado,2020-W22,-16.861751152073733
Colorado,2020-W23,-10.74537037037037
Colorado,2020-W24,-7.710280373831775
Colorado,2020-W25,-3.572093023255814
Colorado,2020-W26,-2.52803738317757
Colorado,2020-W27,3.167441860465116
Colorado,2020-W28,2.0186915887850465
Colorado,2020-W29,1.1674418604651162
Colorado,2020-W30,1.3906976744186046
Colorado,2020-W31,2.4766355140186915
Colorado,2020-W32,3.116279069767442
Colorado,2020-W33,0.02304147465437788
Colorado,2020-W34,-11.905263157894737
Colorado,2020-W35,-13.597938144329897
Colorado,2020-W36,-10.458333333333334
Colorado,2020-W37,-9.758389261744966
Colorado,2020-W38,-2.7660550458715596
Colorado,2020-W39,-3.073394495412844
Colorado,2020-W40,-2.720183486238532
Colorado,2020-W41,-5.698630136986301
Colorado,2020-W42,-8.0
Colorado,2020-W43,-14.294117647058824
Colorado,2020-W44,-16.716216216216218
Colorado,2020-W45,-16.445945945945947
Colorado,2020-W46,-20.93243243243243
Colorado,2020-W47,-21.36
Colorado,2020-W48,-27.86425339366516
Colorado,2020-W49,-21.068181818181817
Colorado,2020-W50,-24.414414414414413
Colorado,2020-W51,-18.804545454545455
Colorado,2020-W52,-19.953917050691246
Colorado,2020-W53,-8.355371900826446
Connecticut,2020-W07,4.666666666666667
Connecticut,2020-W08,5.396825396825397
Connecticut,2020-W09,5.0
Connecticut,2020-W10,6.888888888888889
Connecticut,2020-W11,1.746031746031746
Connecticut,2020-W12,-28.253968253968253
Connecticut,2020-W13,-45.095238095238095
Connecticut,2020-W14,-43.317460317460316
Connecticut,2020-W15,-45.507936507936506
Connecticut,2020-W16,-41.523809523809526
Connecticut,2020-W17,-40.698412698412696
Connecticut,2020-W18,-33.17460317460318
Connecticut,2020-W19,-29.428571428571427
Connecticut,2020-W20,-27.761904761904763
Connecticut,2020-W21,-20.873015873015873
Connecticut,2020-W22,-19.650793650793652
Connecticut,2020-W23,-12.476190476190476
Connecticut,2020-W24,-10.047619047619047
Connecticut,2020-W25,-5.396825396825397
Connecticut,2020-W26,-7.507936507936508
Connecticut,2020-W27,-7.190476190476191
Connecticut,2020-W28,-6.444444444444445
Connecticut,2020-W29,-5.317460317460317
Connecticut,2020-W30,-5.333333333333333
Connecticut,2020-W31,-5.317460317460317
Connecticut,2020-W32,-1.5555555555555556
Connecticut,2020-W33,-5.507936507936508
Connecticut,2020-W34,-5.326923076923077
Connecticut,2020-W35,-6.509803921568627
Connecticut,2020-W36,-3.7450980392156863
Connecticut,2020-W37,-7.326923076923077
Connecticut,2020-W38,-5.095238095238095
Connecticut,2020-W39,-6.190476190476191
Connecticut,2020-W40,-6.365079365079365
Connecticut,2020-W41,-7.841269841269841
Connecticut,2020-W42,-9.936507936507937
Connecticut,2020-W43,-9.920634920634921
Connecticut,2020-W44,-14.65079365079365
Connecticut,2020-W45,-10.26984126984127
Connecticut,2020-W46,-14.714285714285714
Connecticut,2020-W47,-15.11111111111111
Connecticut,2020-W48,-20.523809523809526
Connecticut,2020-W49,-18.46031746031746
Connecticut,2020-W50,-15.095238095238095
Connecticut,2020-W51,-19.873015873015873
Connecticut,2020-W52,-17.476190476190474
Connecticut,2020-W53,-6.333333333333333
Delaware,2020-W07,8.125
Delaware,2020-W08,5.535714285714286
Delaware,2020-W09,7.25
Delaware,2020-W10,9.75
Delaware,2020-W11,5.678571428571429
Delaware,2020-W12,-22.071428571428573
Delaware,2020-W13,-41.5
